color_top,color_right,color_bottom,color_left
#1A1AAE,#1BDE2C,#1BDE2C,#1CE32E
#1A1AAE,#01C116,#0BCE1C,#1AE130
#1A1AAE,#1ADF2D,#18DA2B,#1AE12E
#1313E7,#10F529,#22FF3C,#1DFF38
#1110E7,#15F62E,#1CFF34,#1CFF34
#100BE3,#29FF3D,#16F028,#15F72B
#0F0BDE,#1CF62E,#1CF42D,#16F329
#1209DC,#1CF71F,#1CF623,#1BF928
#120AD9,#1CF71D,#1CF520,#1CFB26
#120AD9,#09E418,#1CF427,#17F222
#110AD6,#28FF38,#16EE21,#1CF727
#1209D4,#00CC05,#23F82C,#16F01D
#1108D3,#1EF22C,#22F826,#23FD2A
#1307D3,#0CE117,#20F527,#1EF923
#1108D3,#1AEF23,#1EF223,#22FD27
#1108D1,#31FF3F,#1AEE1D,#28FF2E
#1007D2,#1DF41A,#1CF21E,#1CF721
#1007D2,#1EF41A,#1CF31C,#1DF820
#1107C8,#1DE813,#1BEC14,#1EF31D
#B29C8F,#25211E,#DD9423,#383431
#7C6A5E,#DF9E2A,#CECECC,#24201F
#A89D9B,#B3A092,#CAB8B8,#403D36
